Key	NA	CA	DA6	DA12	DA24
AT4G23650.1	-0.065443	-0.348351	-0.301157	-0.052183	0.234107
AT4G23670.1	-0.2107	-0.34993	-0.233784	-0.040147	0.260346
AT4G24190.1	0.243002	-0.140664	-0.053273	-0.149455	-0.425209
AT4G24280.1	-0.429395	-0.248074	0.253033	-0.029008	-0.472439
AT4G24620.1	0.694851	0.694851	0.372955	-0.194717	-0.538383
AT4G24770.1	-0.308258	-0.236227	-0.020136	0.004636	0.380603
AT4G24820.1	-0.334796	-0.272442	-0.085379	-0.073813	0.202256
AT4G24830.1	-0.085408	-0.399935	-0.238494	-0.179026	0.146355
AT4G24930.1	-0.524042	-0.354427	0.03116	0.024722	0.014849
AT4G25050.1	-0.122139	-0.579487	-0.274588	-0.236476	-0.236476
AT4G25100.1	-1.762195	-0.469473	-0.890793	-1.085288	-1.477836
AT4G25130.1	0.294435	-0.243411	-0.070604	-0.053081	0.069584
AT4G25280.1	-0.355347	-0.017957	0.123449	0.094695	0.043334
AT4G25370.1	-0.268868	-0.601792	-0.402038	-0.375837	-0.211542
AT4G25620.1	-0.044267	-0.349274	-0.093826	0.118132	0.399877
AT4G25630.1	-0.528593	-1.18818	-0.710982	-0.609174	-0.665384
AT4G25740.1	-0.408102	-0.34355	-0.162785	-0.240731	-0.304622
AT4G26280.1	-0.267474	-0.267357	-0.267004	-0.22066	0.011472
AT4G26300.1	-0.612777	-0.534331	-0.315374	-0.312749	0.101892
AT4G26530.1	-0.183889	-0.336569	-0.367105	-0.288106	0.106891
AT4G26970.1	-0.218182	-0.46609	-0.244286	-0.092419	0.120741
AT4G27090.1	0.137482	-0.074697	-0.204228	-0.110601	0.248664
AT4G27270.1	-0.681692	-0.63367	-0.489604	-0.556032	-0.720095
AT4G27440.1	-0.414085	-0.414408	-0.957297	-1.486555	0.065935
AT4G27500.1	0.00825	-0.174083	-0.20013	-0.239202	-0.187107
AT4G27520.1	3.985403	4.103653	3.995991	4.074129	4.737507
AT4G27595.1	-0.212654	-0.29166	-0.180636	-0.052673	0.101985
AT4G27700.1	-0.248376	-0.483791	-0.217445	0.043202	0.400478
AT4G27860.1	-0.251514	-0.670908	-0.391312	-0.356363	-0.356363
AT4G28750.1	-0.493938	-0.318354	-0.014966	0.179698	0.393907
AT4G29060.1	-0.153057	-0.252491	-0.126624	0.003635	0.151778
AT4G29840.1	-0.314945	-0.652031	-0.286776	-0.030324	0.022375
AT4G29900.1	-1.07842	-1.042777	-0.93585	-0.925313	-0.747882
AT4G30100.1	-0.812657	-0.05884	0.343468	0.080606	-0.168518
AT4G30190.1	-0.344841	-0.17194	0.101992	0.117797	0.496012
AT4G30530.1	-0.173105	-0.487981	-0.184592	0.028845	0.240429
AT4G30800.1	0.005284	-0.418382	-0.184193	-0.115726	-0.164867
AT4G30920.1	-0.340477	-0.303048	-0.17579	-0.101309	0.286063
AT4G31300.1	-0.232709	-0.218569	-0.176149	-0.117059	0.227879
AT4G31300.2	0.082338	0.082338	0.082338	0.112827	0.265272
AT4G31700.1	-0.164994	-0.027046	0.110896	0.179862	0.248825
AT4G31840.1	-0.190109	-0.168053	-0.101884	-0.056424	0.248072
AT4G31990.1	-0.478894	-0.401945	-0.171097	-0.186945	0.003135
AT4G32260.1	-0.056779	-0.26261	-0.168182	-0.028069	0.153951
AT4G32470.1	-0.070479	-0.432437	-0.175241	-0.075373	0.149989
AT4G32560.1	-0.127708	-0.549705	-0.268374	-0.233207	-0.233207
AT4G33010.1	-0.058958	-0.197761	-0.21759	-0.173923	0.232791
AT4G33070.1	-0.391023	0.487417	-0.006516	0.069444	0.830332
AT4G33090.1	-0.444757	0.034844	-0.100613	-0.103302	-0.027128
AT4G33250.1	-1.85627	-1.684712	-1.28896	-1.305509	-0.93645
AT4G33390.1	-0.170819	-0.260361	-0.129823	0.026294	0.22054
AT4G33510.1	-0.144472	-0.183075	-0.260967	-0.17387	0.173899
AT4G33680.1	-0.854007	-0.853176	-0.850353	-0.801633	-0.557702
AT4G33760.1	-0.294975	-0.260347	-0.156463	-0.110196	0.242335
AT4G34050.1	-0.089663	-0.378203	-0.19569	-0.187647	-0.19134
AT4G34100.1	2.838398	2.156114	2.25222	2.597255	3.09282
AT4G34110.1	-0.097465	-0.382542	-0.210986	-0.138951	0.245781
AT4G34120.1	-1.548409	-1.491395	-1.320353	-1.289049	-0.932983
